Title,Description,Price,Image URLs
Teal Mid-Rise Cotton Straight Shorts,,"₹1,880","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-mid-rise-cotton-straight-shorts-straight-shorts-809234_200x.jpg?v=1611242457,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-mid-rise-cotton-straight-shorts-straight-shorts-809234_300x.jpg?v=1611242457,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-mid-rise-cotton-straight-shorts-straight-shorts-809234_400x.jpg?v=1611242457,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-mid-rise-cotton-straight-shorts-straight-shorts-809234_600x.jpg?v=1611242457,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-mid-rise-cotton-straight-shorts-straight-shorts-809234_800x.jpg?v=1611242457,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-mid-rise-cotton-straight-shorts-straight-shorts-809234_900x.jpg?v=1611242457,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-mid-rise-cotton-straight-shorts-straight-shorts-809234_1000x.jpg?v=1611242457,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-mid-rise-cotton-straight-shorts-straight-shorts-809234_1200x.jpg?v=1611242457"
Kashish Dabu Print High-Rise Comfort Fit Shorts,,"₹2,800","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-949083_200x.jpg?v=1626279264,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-949083_300x.jpg?v=1626279264,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-949083_400x.jpg?v=1626279264,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-949083_600x.jpg?v=1626279264,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-949083_800x.jpg?v=1626279264,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-949083_900x.jpg?v=1626279264,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-949083_1000x.jpg?v=1626279264,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-949083_1200x.jpg?v=1626279264"
Orange Handspun Mirror Work Shorts,Handspun Handwoven,"₹3,040","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/orange-handspun-mirror-work-shorts-straight-shorts-733057_200x.jpg?v=1625849349,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/orange-handspun-mirror-work-shorts-straight-shorts-733057_300x.jpg?v=1625849349,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/orange-handspun-mirror-work-shorts-straight-shorts-733057_400x.jpg?v=1625849349,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/orange-handspun-mirror-work-shorts-straight-shorts-733057_600x.jpg?v=1625849349,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/orange-handspun-mirror-work-shorts-straight-shorts-733057_800x.jpg?v=1625849349,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/orange-handspun-mirror-work-shorts-straight-shorts-733057_900x.jpg?v=1625849349,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/orange-handspun-mirror-work-shorts-straight-shorts-733057_1000x.jpg?v=1625849349,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/orange-handspun-mirror-work-shorts-straight-shorts-733057_1200x.jpg?v=1625849349"
Floral Block Print Comfort Fit Shorts,,"₹2,670","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-835454_200x.jpg?v=1625850454,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-835454_300x.jpg?v=1625850454,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-835454_400x.jpg?v=1625850454,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-835454_600x.jpg?v=1625850454,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-835454_800x.jpg?v=1625850454,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-835454_900x.jpg?v=1625850454,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-835454_1000x.jpg?v=1625850454,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-835454_1200x.jpg?v=1625850454"
Olive Green Cotton Straight Shorts,,"₹1,880","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-974322_200x.jpg?v=1611242437,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-974322_300x.jpg?v=1611242437,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-974322_400x.jpg?v=1611242437,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-974322_600x.jpg?v=1611242437,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-974322_800x.jpg?v=1611242437,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-974322_900x.jpg?v=1611242437,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-974322_1000x.jpg?v=1611242437,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-974322_1200x.jpg?v=1611242437"
Sky Blue Crinkled Cotton Short Shorts,,"₹3,520","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-462658_200x.jpg?v=1625850697,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-462658_300x.jpg?v=1625850697,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-462658_400x.jpg?v=1625850697,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-462658_600x.jpg?v=1625850697,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-462658_800x.jpg?v=1625850697,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-462658_900x.jpg?v=1625850697,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-462658_1000x.jpg?v=1625850697,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-462658_1200x.jpg?v=1625850697"
Warm Dusk Beige Cotton Flannel Shorts,,"₹3,390","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-293835_200x.jpg?v=1626083754,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-293835_300x.jpg?v=1626083754,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-293835_400x.jpg?v=1626083754,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-293835_600x.jpg?v=1626083754,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-293835_800x.jpg?v=1626083754,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-293835_900x.jpg?v=1626083754,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-293835_1000x.jpg?v=1626083754,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-293835_1200x.jpg?v=1626083754"
Mint Green Tie and Dye Bermuda Shorts,,"₹2,970","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-tie-dye-bermuda-shorts-bermuda-shorts-662673_200x.jpg?v=1625990180,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-tie-dye-bermuda-shorts-bermuda-shorts-662673_300x.jpg?v=1625990180,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-tie-dye-bermuda-shorts-bermuda-shorts-662673_400x.jpg?v=1625990180,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-tie-dye-bermuda-shorts-bermuda-shorts-662673_600x.jpg?v=1625990180,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-tie-dye-bermuda-shorts-bermuda-shorts-662673_800x.jpg?v=1625990180,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-tie-dye-bermuda-shorts-bermuda-shorts-662673_900x.jpg?v=1625990180,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-tie-dye-bermuda-shorts-bermuda-shorts-662673_1000x.jpg?v=1625990180,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-tie-dye-bermuda-shorts-bermuda-shorts-662673_1200x.jpg?v=1625990180"
Red Solid Cotton Short Shorts,,"₹2,460","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/red-solid-cotton-short-shorts-short-shorts-349011_200x.jpg?v=1611250620,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/red-solid-cotton-short-shorts-short-shorts-349011_300x.jpg?v=1611250620,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/red-solid-cotton-short-shorts-short-shorts-349011_400x.jpg?v=1611250620,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/red-solid-cotton-short-shorts-short-shorts-349011_600x.jpg?v=1611250620,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/red-solid-cotton-short-shorts-short-shorts-349011_800x.jpg?v=1611250620,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/red-solid-cotton-short-shorts-short-shorts-349011_900x.jpg?v=1611250620,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/red-solid-cotton-short-shorts-short-shorts-349011_1000x.jpg?v=1611250620,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/red-solid-cotton-short-shorts-short-shorts-349011_1200x.jpg?v=1611250620"
Handspun Brown Flared Shorts,Handspun Handwoven,"₹3,720","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-875565_200x.jpg?v=1626080841,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-875565_300x.jpg?v=1626080841,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-875565_400x.jpg?v=1626080841,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-875565_600x.jpg?v=1626080841,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-875565_800x.jpg?v=1626080841,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-875565_900x.jpg?v=1626080841,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-875565_1000x.jpg?v=1626080841,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-875565_1200x.jpg?v=1626080841"
Teal Blue Low Rise Short Cotton Shorts,,"₹3,140","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_200x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_300x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_400x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_600x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_800x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_900x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_1000x.jpg?v=1625993203,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-low-rise-short-cotton-shorts-short-shorts-543892_1200x.jpg?v=1625993203"
Purple Flannel Convertible Pant Shorts,,"₹4,630","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_200x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_300x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_400x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_600x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_800x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_900x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_1000x.jpg?v=1611242402,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/purple-flannel-convertible-pant-shorts-pant-shorts-841678_1200x.jpg?v=1611242402"
Breezy Handspun Cotton Checks Shorts,Handspun Handwoven,"₹3,200","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_200x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_300x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_400x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_600x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_800x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_900x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_1000x.jpg?v=1626172136,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_1200x.jpg?v=1626172136"
Violet Striped Mangalgiri Cotton Shorts,,"₹3,440","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_200x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_300x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_400x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_600x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_800x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_900x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_1000x.jpg?v=1625991042,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_1200x.jpg?v=1625991042"
Navy Blue Striped Paneled Shorts,,"₹2,580","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_200x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_300x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_400x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_600x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_800x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_900x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_1000x.jpg?v=1611241305,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_1200x.jpg?v=1611241305"
Teal Blue Comfort Fit Short Shorts,,"₹1,900","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_200x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_300x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_400x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_600x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_800x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_900x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_1000x.jpg?v=1611244484,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_1200x.jpg?v=1611244484"
